id,所有音乐作品
1,四面楚歌
2,双刀
3,超跑女神
4,红模仿
5,免费教学录影带
6,天地一斗
7,浪漫手机
8,白色风车
9,你好吗
10,水手怕水
11,公公偏头痛
12,红尘客栈
13,千里之外
14,天涯过客
15,甜甜的
16,听妈妈的话
17,反方向的钟
18,米兰的小铁匠
19,黑色毛衣
20,爱在西元前
21,同一种调调
22,我落泪情绪零碎
23,晴天
24,断了的弦
25,麦芽糖
26,Mine Mine
27,发如雪
28,黄俊郎ahaway
29,Dare for more
30,梯田
31,心雨
32,以父之名
33,四季列车
34,蛇舞
35,哪里都是你
36,牛仔很忙
37,分裂
38,你怎么连话都说不清楚
39,天台的月光
40,土耳其冰淇淋
41,迷魂曲
42,印地安老斑鸠
43,说好的幸福呢
44,温岚
45,狗仔舞
46,花海
47,淘汰
48,无双
49,我的地盘
50,珊瑚海
51,说走就走
52,黑色幽默
53,刀马旦
54,爱你没差
55,傻笑
56,手语
57,园游会
58,本草纲目
59,开不了口
60,公主病
61,蓝色风暴
62,暗号
63,乔克叔叔
64,止战之殇
65,听爸爸的话
66,海盗
67,前世情人
68,扯
69,黄金甲
70,完美主义
71,菊花台
72,美人鱼
73,借口
74,三年二班
75,蜗牛
76,手写的从前
77,兰亭序
78,烟花易冷
79,天台
80,超人不会飞
81,不爱我就拉倒
82,齐
83,一路向北
84,屋顶
85,窃爱
86,瓦解
87,漂移
88,懦夫
89,黄淩嘉
90,阳光宅男
91,星晴
92,乱舞春秋
93,夜曲
94,我们在成长
95,稻香
96,爱情悬崖
97,最后的战役
98,周大侠
99,半岛铁盒
100,比较大的大提琴
101,斗牛
102,你是我的OK绷
103,我不配
104,梦想启动
105,霍元甲
106,半兽人
107,皮影戏
108,雨下一整晚
109,骑士精神
110,阳明山
111,寻找周杰伦
112,伊斯坦堡
113,上海一九四三
114,龙战骑士
115,怎么了
116,算什么男人
117,龙拳
118,枫
119,想你就写信
120,威廉古堡
121,爷爷泡的茶
122,最长的电影
123,鞋子特大号
124,双截棍
125,床边故事
126,将军
127,爱情废柴
128,倒带
129,她的睫毛
130,一点点
131,彩虹
132,乌克丽丽
133,曾郁婷
134,安静
135,大笨钟
136,青花瓷
137,祝我生日快乐
138,给你的情书
139,七里香
140,琴伤
141,世界末日
142,蒲公英的约定
143,迷迭香
144,英雄
145,Now You See Me
146,嘻哈空姐
147,我很忙
148,等你下课
149,布拉格广场
150,画沙
151,逆鳞
152,爸，我回来了
153,忍者
154,世界未末日
155,我是如此相信
156,搁浅
157,自导自演
158,好久不见
159,不该
160,简单爱
161,月光
162,爱的飞行日记
163,南拳妈妈的夏天
164,叶惠美
165,告白气球
166,明明就
167,时光机
168,给我一首歌的时间
169,流浪诗人
170,百事音乐风云榜
171,夜的第七章
172,轨迹
173,听见下雨的声音
174,魔术先生
175,可爱女人
176,打架舞
177,困兽之斗
178,我要夏天
179,龙卷风
180,外婆
181,回到过去
182,你听得到
183,一口气全念对
184,天台 声带
185,说了再见
186,秘密花园
187,阿爸
188,疗伤烧肉粽
189,退后
190,吴宗宪
191,惊叹号
192,跨时代
193,天台爱情
194,快门慢舞
195,你比从前快乐
196,浪花兄弟
197,七里香